epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,282.489,1.38062,2.14789,1.24219,1.62511,0.62101,0.57214,0.59692,0.31503,0.63628,0.58706,0.60675,0.32124,1.67699,2.76023,1.59047,1.95082,0.0016238,0.0016238,0.0016238
59,287.388,1.35461,2.10423,1.23179,1.60924,0.67266,0.55207,0.55539,0.27228,0.68999,0.56473,0.58543,0.28837,1.71794,2.61721,1.71948,2.01174,0.0016172,0.0016172,0.0016172
60,292.35,1.36117,2.09908,1.21698,1.59156,0.62061,0.57782,0.58343,0.30128,0.63952,0.57214,0.60701,0.30509,1.6577,2.55889,1.589,1.89368,0.0016106,0.0016106,0.0016106
61,297.131,1.33562,2.10403,1.19734,1.58164,0.6774,0.58706,0.61307,0.31522,0.67221,0.59204,0.61552,0.31561,1.5961,2.74513,1.57704,1.84206,0.001604,0.001604,0.001604
62,301.782,1.33464,2.10845,1.17809,1.57513,0.71419,0.52239,0.59246,0.30786,0.7189,0.54229,0.60505,0.30464,1.63293,2.77874,1.59119,1.8975,0.0015974,0.0015974,0.0015974
63,306.44,1.34954,2.14829,1.20795,1.60842,0.63324,0.62687,0.61982,0.33873,0.64224,0.66091,0.63773,0.33487,1.61791,2.82112,1.56477,1.88994,0.0015908,0.0015908,0.0015908
64,311.249,1.33063,2.08166,1.16288,1.59174,0.54719,0.63728,0.55596,0.29006,0.6182,0.61692,0.61275,0.30541,1.6616,2.71061,1.59213,1.91263,0.0015842,0.0015842,0.0015842
65,316.191,1.32134,2.09773,1.1799,1.57011,0.68622,0.62687,0.6231,0.33355,0.68622,0.62687,0.62891,0.31956,1.59899,2.79221,1.54449,1.81813,0.0015776,0.0015776,0.0015776
66,320.981,1.29191,2.04062,1.11817,1.53867,0.57705,0.63807,0.60388,0.32532,0.67898,0.59204,0.61757,0.3197,1.54705,2.92822,1.56352,1.84167,0.001571,0.001571,0.001571
67,325.872,1.29833,2.03878,1.11022,1.53836,0.57587,0.61194,0.59545,0.30882,0.61823,0.60697,0.608,0.30912,1.66066,2.82908,1.59513,1.93178,0.0015644,0.0015644,0.0015644
68,330.542,1.3173,2.07349,1.17894,1.57015,0.66825,0.57124,0.62241,0.34049,0.70838,0.58209,0.6347,0.33715,1.56431,2.70547,1.52767,1.8758,0.0015578,0.0015578,0.0015578
69,335.293,1.27417,2.07308,1.12977,1.55153,0.62315,0.58706,0.60114,0.32946,0.66463,0.58209,0.61401,0.33277,1.58767,2.75238,1.58572,1.83947,0.0015512,0.0015512,0.0015512
70,339.976,1.2905,2.06906,1.11898,1.53302,0.63901,0.59885,0.61535,0.34754,0.64431,0.60383,0.61977,0.33361,1.57792,2.57709,1.54881,1.80844,0.0015446,0.0015446,0.0015446
71,344.689,1.25445,2.00582,1.06802,1.51783,0.67623,0.58209,0.63272,0.36079,0.67623,0.58209,0.63935,0.35284,1.51894,2.53095,1.49585,1.78605,0.001538,0.001538,0.001538
72,349.365,1.23848,2.00665,1.07334,1.50304,0.62721,0.57711,0.61266,0.32725,0.65843,0.59701,0.62595,0.33629,1.55417,2.66065,1.5452,1.79787,0.0015314,0.0015314,0.0015314
73,354.111,1.21496,1.95339,1.07026,1.49422,0.68532,0.58508,0.62279,0.33465,0.67291,0.60199,0.64461,0.34197,1.58243,2.70981,1.51698,1.85782,0.0015248,0.0015248,0.0015248
74,358.761,1.23134,1.9869,1.06419,1.49604,0.64865,0.62189,0.63362,0.33793,0.6694,0.64179,0.64701,0.33854,1.59095,2.58209,1.45455,1.80661,0.0015182,0.0015182,0.0015182
75,363.398,1.24635,1.98994,1.0388,1.50851,0.61374,0.59204,0.63046,0.32835,0.60803,0.58653,0.62729,0.33154,1.61883,2.69294,1.51023,1.83743,0.0015116,0.0015116,0.0015116
76,368.133,1.216,1.95777,1.04071,1.47379,0.66521,0.59701,0.63197,0.33735,0.65589,0.62189,0.62718,0.32532,1.58548,2.87337,1.48074,1.83267,0.001505,0.001505,0.001505
77,373.036,1.22666,1.93727,1.03068,1.50378,0.60976,0.63746,0.61513,0.33523,0.62924,0.63682,0.63063,0.32914,1.60246,2.7246,1.52047,1.83362,0.0014984,0.0014984,0.0014984
78,377.96,1.21213,1.94159,1.00921,1.47363,0.60379,0.59701,0.61517,0.34662,0.64014,0.62687,0.64532,0.33567,1.57736,2.68759,1.45105,1.85918,0.0014918,0.0014918,0.0014918
79,382.865,1.25561,1.99061,1.05998,1.52628,0.62985,0.56219,0.59316,0.31688,0.64142,0.56219,0.5945,0.30828,1.60317,2.74525,1.55119,1.83499,0.0014852,0.0014852,0.0014852
80,387.816,1.225,1.96504,1.01209,1.49009,0.67115,0.55721,0.60127,0.30825,0.68314,0.56716,0.61872,0.3093,1.66206,2.7371,1.52938,1.97173,0.0014786,0.0014786,0.0014786
81,392.746,1.22695,1.94947,1.02333,1.47414,0.6592,0.60697,0.63711,0.32762,0.70022,0.60697,0.65031,0.3421,1.60556,2.52805,1.50354,1.85147,0.001472,0.001472,0.001472
82,397.675,1.18492,1.9276,0.98496,1.44593,0.62654,0.62687,0.62581,0.33453,0.64686,0.63793,0.63466,0.33251,1.60813,2.53292,1.50263,1.8401,0.0014654,0.0014654,0.0014654
83,402.6,1.18015,1.88,0.99272,1.45954,0.6682,0.60116,0.63535,0.34567,0.67373,0.60614,0.6436,0.33399,1.5886,2.62697,1.48749,1.82586,0.0014588,0.0014588,0.0014588
84,407.524,1.18432,1.90018,0.988,1.4273,0.67434,0.5357,0.62238,0.34954,0.59001,0.65869,0.64456,0.34152,1.54407,2.67025,1.45711,1.80173,0.0014522,0.0014522,0.0014522
85,412.437,1.17617,1.86988,0.99687,1.45564,0.63994,0.64677,0.64142,0.35285,0.6594,0.64179,0.63767,0.35338,1.53931,2.6279,1.42427,1.78098,0.0014456,0.0014456,0.0014456
86,417.377,1.19267,1.89913,0.99516,1.45549,0.68518,0.57214,0.61425,0.33459,0.6971,0.58209,0.62366,0.31929,1.56753,2.68787,1.49796,1.83019,0.001439,0.001439,0.001439
87,422.353,1.20173,1.91068,0.98366,1.4598,0.64785,0.62238,0.60344,0.31255,0.65303,0.62736,0.61378,0.31163,1.64637,2.67444,1.56513,1.88345,0.0014324,0.0014324,0.0014324
88,427.238,1.17521,1.89647,0.99291,1.44515,0.59398,0.63682,0.60534,0.33185,0.63526,0.6672,0.62758,0.33503,1.6352,2.84611,1.52478,2.0028,0.0014258,0.0014258,0.0014258
89,431.947,1.17716,1.87032,0.96004,1.42488,0.65044,0.61099,0.64846,0.35711,0.67682,0.59204,0.65366,0.36009,1.56167,2.5562,1.45577,1.80297,0.0014192,0.0014192,0.0014192
90,436.622,1.16263,1.84717,0.96259,1.43195,0.64042,0.59204,0.60195,0.32627,0.63667,0.59204,0.60807,0.32096,1.55064,2.72395,1.57487,1.80372,0.0014126,0.0014126,0.0014126
91,441.264,1.13724,1.84952,0.94756,1.41577,0.65058,0.59204,0.63497,0.34193,0.6859,0.58667,0.6505,0.34807,1.61162,2.66264,1.52964,1.88703,0.001406,0.001406,0.001406
92,445.95,1.15448,1.87287,0.94714,1.41948,0.62175,0.64606,0.64717,0.34699,0.62654,0.65103,0.65488,0.34166,1.55512,2.77912,1.38035,1.82407,0.0013994,0.0013994,0.0013994
93,450.72,1.16897,1.84336,0.97252,1.44979,0.64095,0.58209,0.61705,0.32682,0.6398,0.58706,0.61836,0.31666,1.61871,2.83886,1.58259,1.84208,0.0013928,0.0013928,0.0013928
94,455.656,1.14385,1.78577,0.92924,1.41274,0.67447,0.58756,0.62778,0.35736,0.71297,0.59701,0.65214,0.34481,1.56457,2.88005,1.49739,1.83714,0.0013862,0.0013862,0.0013862
95,460.588,1.13178,1.81224,0.92277,1.42184,0.60152,0.67164,0.63886,0.35692,0.61043,0.68159,0.64829,0.34294,1.58725,2.79392,1.46667,1.85395,0.0013796,0.0013796,0.0013796
96,465.548,1.16576,1.83414,0.92004,1.42662,0.67874,0.61194,0.6551,0.35784,0.64874,0.61194,0.64152,0.32856,1.60571,2.75154,1.43679,1.85692,0.001373,0.001373,0.001373
97,470.451,1.15876,1.85903,0.96321,1.41335,0.60062,0.61194,0.61803,0.33662,0.68295,0.62189,0.66036,0.34938,1.60434,2.79018,1.45289,1.89115,0.0013664,0.0013664,0.0013664
98,475.395,1.14531,1.84987,0.92552,1.40183,0.64198,0.64179,0.66002,0.35228,0.64742,0.64677,0.66425,0.34637,1.60147,2.60954,1.40029,1.80419,0.0013598,0.0013598,0.0013598
99,480.346,1.15214,1.82756,0.91361,1.41358,0.71772,0.60697,0.66805,0.36899,0.72949,0.61692,0.68634,0.3551,1.60399,2.58455,1.3758,1.79705,0.0013532,0.0013532,0.0013532
100,485.35,1.13051,1.82194,0.93136,1.4098,0.65675,0.64677,0.64976,0.35435,0.66299,0.65174,0.66668,0.35434,1.58226,2.94203,1.42446,1.81873,0.0013466,0.0013466,0.0013466
101,490.251,1.09523,1.78808,0.8852,1.37536,0.63762,0.61692,0.62033,0.33481,0.67296,0.61692,0.6411,0.33104,1.60287,2.81518,1.58615,1.94286,0.00134,0.00134,0.00134
