epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,292.814,1.37204,2.15779,1.21706,1.67683,0.57934,0.54815,0.57782,0.30823,0.61312,0.58706,0.59088,0.29242,1.57562,2.77024,1.53223,1.86181,0.001637,0.001637,0.001637
57,297.934,1.37138,2.12075,1.21817,1.64695,0.58263,0.56219,0.56321,0.29974,0.59559,0.56219,0.57056,0.28761,1.64977,2.68442,1.59614,1.88451,0.0016304,0.0016304,0.0016304
58,303.125,1.36046,2.16542,1.25938,1.66713,0.62363,0.58706,0.58157,0.31697,0.61142,0.58706,0.57361,0.29936,1.60231,2.8745,1.62934,1.91052,0.0016238,0.0016238,0.0016238
59,308.269,1.3646,2.14045,1.23535,1.68043,0.58396,0.53771,0.53709,0.30016,0.57019,0.5808,0.55975,0.29177,1.64526,2.6689,1.63211,1.89763,0.0016172,0.0016172,0.0016172
60,313.46,1.36361,2.11208,1.198,1.65244,0.60773,0.53731,0.57308,0.29847,0.60194,0.57711,0.61172,0.29107,1.61204,2.58755,1.54963,1.92702,0.0016106,0.0016106,0.0016106
61,318.603,1.3267,2.06776,1.17327,1.62157,0.62956,0.47761,0.54691,0.30973,0.63715,0.46766,0.54587,0.28892,1.58848,2.65949,1.59819,1.84262,0.001604,0.001604,0.001604
62,323.776,1.32869,2.10313,1.1818,1.61808,0.63699,0.61194,0.61054,0.32441,0.64468,0.60479,0.62252,0.32492,1.59579,2.70585,1.46381,1.87548,0.0015974,0.0015974,0.0015974
63,329.034,1.3027,2.11067,1.16738,1.61363,0.62753,0.66667,0.64729,0.35561,0.66379,0.63847,0.64406,0.33987,1.55943,2.61529,1.4045,1.86505,0.0015908,0.0015908,0.0015908
64,334.245,1.29035,2.06288,1.12592,1.60409,0.62977,0.59701,0.60241,0.33526,0.58905,0.64677,0.63229,0.32753,1.60251,2.44186,1.46725,1.94931,0.0015842,0.0015842,0.0015842
65,339.257,1.30866,2.04025,1.14289,1.60678,0.6482,0.60502,0.63991,0.3469,0.66706,0.61692,0.64596,0.33233,1.56094,2.60625,1.41117,1.87864,0.0015776,0.0015776,0.0015776
