epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,358.092,1.2864,2.02754,1.08099,1.6005,0.56829,0.59701,0.56569,0.31093,0.58321,0.59701,0.59444,0.30837,1.63214,2.77269,1.57958,1.91654,0.0015314,0.0015314,0.0015314
73,362.964,1.2652,1.97848,1.0966,1.58336,0.5881,0.61194,0.6042,0.33194,0.66966,0.54726,0.62325,0.33272,1.63863,2.40998,1.42221,1.9303,0.0015248,0.0015248,0.0015248
74,367.705,1.29007,1.99798,1.08128,1.58281,0.61696,0.63682,0.60654,0.3262,0.60732,0.62687,0.62171,0.32444,1.62574,2.68039,1.42709,1.90036,0.0015182,0.0015182,0.0015182
75,372.406,1.28237,2.01082,1.06416,1.58881,0.60774,0.59352,0.6007,0.32652,0.62083,0.59701,0.61093,0.3164,1.67716,2.67699,1.47433,1.95188,0.0015116,0.0015116,0.0015116
76,377.176,1.26636,1.99622,1.07628,1.56196,0.6608,0.62031,0.64228,0.34268,0.66814,0.62189,0.6539,0.32961,1.61887,2.63527,1.39848,1.92844,0.001505,0.001505,0.001505
77,382.034,1.30667,2.00058,1.08876,1.6134,0.6899,0.60199,0.6165,0.33323,0.69111,0.60111,0.62491,0.3204,1.60679,2.58325,1.49589,1.89603,0.0014984,0.0014984,0.0014984
78,387.137,1.25519,1.97412,1.0429,1.54806,0.60868,0.56716,0.56663,0.30096,0.6138,0.55224,0.55775,0.28664,1.68807,2.75143,1.63193,1.98468,0.0014918,0.0014918,0.0014918
79,392.173,1.27559,2.0163,1.08214,1.57747,0.60625,0.59204,0.59982,0.32815,0.61417,0.59396,0.6015,0.31164,1.60882,2.80641,1.46496,1.89442,0.0014852,0.0014852,0.0014852
80,397.163,1.27642,2.00015,1.04077,1.56118,0.61673,0.58706,0.58446,0.33385,0.62688,0.59204,0.60014,0.32241,1.61076,2.66682,1.42662,1.95828,0.0014786,0.0014786,0.0014786
81,402.246,1.31118,2.02744,1.07071,1.58719,0.6352,0.52845,0.56424,0.31672,0.65357,0.54439,0.589,0.30763,1.60562,2.81928,1.44881,1.88065,0.001472,0.001472,0.001472
82,407.333,1.23225,1.95765,1.03871,1.54345,0.6572,0.59138,0.59483,0.3313,0.66498,0.5925,0.61645,0.32602,1.60472,2.63651,1.47368,1.84367,0.0014654,0.0014654,0.0014654
83,412.42,1.23704,1.92806,1.04527,1.54077,0.7145,0.59204,0.65499,0.37268,0.71864,0.59204,0.66306,0.35208,1.56224,2.57578,1.32651,1.87397,0.0014588,0.0014588,0.0014588
84,417.584,1.25025,1.93626,1.00791,1.5065,0.62931,0.61657,0.62164,0.33548,0.64165,0.62189,0.66049,0.33676,1.60352,2.59935,1.41741,1.88492,0.0014522,0.0014522,0.0014522
85,422.594,1.22159,1.91574,1.00966,1.53068,0.6014,0.63054,0.60077,0.32038,0.60615,0.63552,0.6073,0.30712,1.64263,2.83331,1.47056,1.88323,0.0014456,0.0014456,0.0014456
86,427.68,1.27366,1.98915,1.06628,1.57223,0.65971,0.57711,0.63794,0.34801,0.60448,0.62687,0.63602,0.34104,1.54977,2.54377,1.40411,1.83871,0.001439,0.001439,0.001439
87,432.705,1.23784,1.93139,0.98543,1.51657,0.67169,0.59036,0.63959,0.34843,0.67093,0.58832,0.65068,0.34351,1.56446,2.68646,1.36756,1.83536,0.0014324,0.0014324,0.0014324
88,437.746,1.26246,1.96376,1.04473,1.54403,0.68415,0.55224,0.59799,0.33477,0.68158,0.57711,0.61753,0.33356,1.60673,2.81227,1.49071,1.91376,0.0014258,0.0014258,0.0014258
89,442.732,1.1997,1.90308,0.97201,1.48926,0.59385,0.61834,0.60995,0.33895,0.60779,0.60697,0.61389,0.33316,1.62978,2.55898,1.49366,1.88123,0.0014192,0.0014192,0.0014192
90,447.819,1.2238,1.90582,0.9944,1.52296,0.53965,0.66169,0.60804,0.33668,0.5773,0.66169,0.63388,0.32521,1.59148,2.73434,1.43316,1.89372,0.0014126,0.0014126,0.0014126
91,452.88,1.20039,1.90162,0.98653,1.50398,0.62027,0.66667,0.62966,0.3465,0.64051,0.68159,0.66463,0.35758,1.58102,2.56772,1.36685,1.87893,0.001406,0.001406,0.001406
92,457.994,1.19842,1.88507,0.97531,1.4853,0.65622,0.57711,0.62482,0.33621,0.67258,0.62687,0.65403,0.34695,1.577,2.75535,1.45474,1.86647,0.0013994,0.0013994,0.0013994
93,462.856,1.21423,1.86657,0.99573,1.51536,0.70465,0.56716,0.61917,0.34097,0.73245,0.58209,0.6289,0.3431,1.54228,2.55362,1.45609,1.86265,0.0013928,0.0013928,0.0013928
94,467.705,1.19245,1.84578,0.96314,1.48487,0.64615,0.64179,0.6467,0.34748,0.68964,0.60697,0.65663,0.35142,1.59917,2.6101,1.41968,1.90543,0.0013862,0.0013862,0.0013862
95,472.489,1.19152,1.85238,0.9589,1.50854,0.64132,0.63157,0.6343,0.34231,0.62189,0.64179,0.63655,0.324,1.61198,2.83949,1.44986,1.9225,0.0013796,0.0013796,0.0013796
96,477.342,1.16303,1.84353,0.90995,1.4585,0.62838,0.62253,0.60891,0.34236,0.63693,0.63682,0.61303,0.32438,1.56951,2.7777,1.48194,1.83864,0.001373,0.001373,0.001373
97,482.148,1.18484,1.85153,0.94364,1.46049,0.71706,0.52736,0.62395,0.34364,0.74489,0.55224,0.65849,0.34278,1.60206,2.79311,1.45614,1.95638,0.0013664,0.0013664,0.0013664
98,487.101,1.19811,1.87221,0.95101,1.48688,0.71089,0.61692,0.6724,0.37759,0.71938,0.62687,0.66984,0.36439,1.55507,2.6626,1.41362,1.8192,0.0013598,0.0013598,0.0013598
99,492.238,1.17036,1.83563,0.92626,1.47844,0.62768,0.62687,0.63784,0.34715,0.64313,0.64179,0.65844,0.34434,1.60513,2.61867,1.37605,1.92749,0.0013532,0.0013532,0.0013532
100,497.34,1.16219,1.83895,0.93336,1.47697,0.65785,0.61221,0.61999,0.33419,0.70718,0.62189,0.6659,0.33487,1.64343,2.67022,1.40737,1.95794,0.0013466,0.0013466,0.0013466
101,502.468,1.14742,1.82226,0.92038,1.4605,0.70844,0.61194,0.63957,0.33353,0.72625,0.61692,0.6424,0.33249,1.64225,2.73203,1.3221,1.89898,0.00134,0.00134,0.00134
102,507.558,1.16587,1.83966,0.92725,1.47039,0.64528,0.64259,0.63411,0.36228,0.68134,0.65953,0.66441,0.35154,1.59706,2.62829,1.35269,1.9302,0.0013334,0.0013334,0.0013334
103,512.57,1.15217,1.78996,0.91792,1.45336,0.61481,0.61692,0.60328,0.32701,0.61787,0.63552,0.63128,0.33978,1.61082,2.72408,1.42389,1.89748,0.0013268,0.0013268,0.0013268
104,517.331,1.12284,1.7702,0.90339,1.44831,0.68588,0.5649,0.6362,0.36986,0.687,0.60199,0.66121,0.34724,1.53507,2.70293,1.30558,1.85983,0.0013202,0.0013202,0.0013202
105,522.134,1.17064,1.87577,0.9454,1.46355,0.67873,0.62687,0.63745,0.34935,0.68813,0.63682,0.65661,0.34251,1.56441,2.78871,1.41147,1.87733,0.0013136,0.0013136,0.0013136
106,526.917,1.15345,1.80467,0.924,1.45307,0.73797,0.57214,0.64914,0.3628,0.71588,0.58209,0.64971,0.34119,1.61551,2.7552,1.46103,1.88942,0.001307,0.001307,0.001307
107,531.708,1.16536,1.80929,0.92666,1.46022,0.63741,0.62971,0.63123,0.35437,0.63315,0.64677,0.63987,0.34757,1.60136,2.70496,1.43941,1.89798,0.0013004,0.0013004,0.0013004
108,536.537,1.13811,1.79177,0.91667,1.44742,0.64127,0.64677,0.6481,0.37808,0.664,0.67164,0.68011,0.3614,1.56567,2.6196,1.29561,1.87511,0.0012938,0.0012938,0.0012938
109,541.258,1.14105,1.80678,0.90968,1.43873,0.64999,0.64179,0.65794,0.36509,0.66188,0.64277,0.66551,0.34261,1.57464,2.76401,1.41289,1.90136,0.0012872,0.0012872,0.0012872
110,545.975,1.13017,1.81487,0.89867,1.43337,0.61683,0.66667,0.65806,0.36562,0.62548,0.67662,0.66553,0.35786,1.58823,2.79238,1.32413,1.93585,0.0012806,0.0012806,0.0012806
111,550.707,1.10203,1.78143,0.85551,1.41856,0.62024,0.68657,0.67183,0.37605,0.62138,0.68657,0.67971,0.36169,1.56503,2.77646,1.30734,1.87598,0.001274,0.001274,0.001274
112,555.484,1.0712,1.68699,0.82176,1.3963,0.65316,0.63184,0.63314,0.36027,0.65414,0.63184,0.64336,0.34198,1.58139,2.73939,1.34975,1.90676,0.0012674,0.0012674,0.0012674
113,560.337,1.14725,1.78336,0.90768,1.43771,0.67999,0.60199,0.65871,0.36809,0.68868,0.60697,0.65332,0.35807,1.57307,2.60887,1.45757,1.81944,0.0012608,0.0012608,0.0012608
114,565.434,1.10921,1.78405,0.87705,1.41787,0.74293,0.57214,0.63196,0.35721,0.68151,0.6281,0.64594,0.3363,1.57772,2.88966,1.35216,1.86912,0.0012542,0.0012542,0.0012542
115,570.62,1.11203,1.7605,0.86986,1.42455,0.70322,0.59204,0.6356,0.35661,0.7048,0.59701,0.64471,0.33562,1.55611,2.86273,1.34964,1.84593,0.0012476,0.0012476,0.0012476
116,575.542,1.09506,1.71238,0.86144,1.39791,0.64925,0.62189,0.6367,0.35344,0.65438,0.62189,0.63039,0.33837,1.56919,2.97929,1.41867,1.90387,0.001241,0.001241,0.001241
117,580.503,1.09569,1.73674,0.85383,1.39978,0.67552,0.60199,0.66456,0.36995,0.67865,0.60939,0.67337,0.36325,1.59103,2.80439,1.31888,1.92101,0.0012344,0.0012344,0.0012344
118,585.516,1.11539,1.78563,0.86137,1.43553,0.62015,0.63682,0.61391,0.34834,0.6339,0.65174,0.62503,0.32779,1.56429,2.80467,1.42005,1.88877,0.0012278,0.0012278,0.0012278
119,590.497,1.12583,1.75481,0.88135,1.41114,0.6669,0.58706,0.61129,0.33817,0.69424,0.61194,0.64237,0.3271,1.62346,2.8339,1.45336,1.90963,0.0012212,0.0012212,0.0012212
120,595.538,1.13608,1.75586,0.88143,1.42637,0.72968,0.60433,0.66363,0.35475,0.74828,0.62117,0.66838,0.33372,1.59011,2.7403,1.333,1.92851,0.0012146,0.0012146,0.0012146
121,600.426,1.07345,1.71654,0.83823,1.38763,0.66068,0.61997,0.66038,0.3559,0.67604,0.63332,0.65866,0.34833,1.65937,2.84291,1.39384,1.9655,0.001208,0.001208,0.001208
122,605.335,1.05656,1.70699,0.79929,1.37737,0.70772,0.5662,0.63947,0.36194,0.73285,0.58685,0.65637,0.35652,1.55829,2.66065,1.38071,1.83066,0.0012014,0.0012014,0.0012014
